Player Name,Team,rush_att,rush_yds,rush_tds,rec_att,rec_yds,rec_tds,fumbles,fpts 
Josh Vaughan,ATL,1.3,4.4,0,0,0,0,0,0.4
Allen Bradford,SEA,1.4,4,0,0,0,0,0,0.4
Steven Miller,FA,0,0,0,0,0,0,0,0
Jeff Demps,TB,0,0,0,0,0,0,0,0
Michael Hill,FA,0,0,0,0,0,0,0,0
Jeremiah Johnson,DEN,0,0,0,0,0,0,0,0
Dominique Whaley,SEA,0,0,0,0,0,0,0,0
Latavius Murray,OAK,0,0,0,0,0,0,0,0
Jewel Hampton,FA,0,0,0,0,0,0,0,0
Keiland Williams,FA,0,0,0,0,0,0,0,0
Ronnie Wingo,FA,0,0,0,0,0,0,0,0
C.J. Anderson,DEN,0,0,0,0,0,0,0,0
Mossis Madu,FA,0,0,0,0,0,0,0,0
Jonathan Grimes,FA,0,0,0,0,0,0,0,0
Jawan Jamison,FA,0,0,0,0,0,0,0,0
Khiry Robinson,NO,0,0,0,0,0,0,0,0
Marcus Lattimore,SF,0,0,0,0,0,0,0,0
